timestamp,aqi,co,no2,o3,pm2_5,pm10
1771203600,4,299.98,0.76,108.76,70.02,79.08
1771207200,4,307.08,0.79,108.55,71.66,80.96
1771210800,4,313.45,0.66,109.72,72.95,82.43
1771214400,4,319.05,0.5,111.27,73.94,83.59
1771218000,4,319.64,0.41,112.07,73.78,83.38
1771221600,4,316.35,0.38,113.31,73.6,82.92
1771225200,5,318.05,0.37,116.04,75.23,84.55
1771228800,5,315.62,0.35,116.37,76.04,85.49
1771232400,5,310.75,0.35,116.4,75.7,85.42
1771236000,4,303.29,0.38,116.2,74.41,84.64
1771239600,4,291.14,0.43,114.89,71.35,82.05
1771243200,4,274.1,0.44,114.17,66.21,77.0
1771246800,4,258.82,0.41,113.92,60.61,70.79
1771250400,4,254.75,0.46,110.53,57.36,67.35
1771254000,4,256.99,0.56,106.16,54.66,64.48
1771257600,4,261.17,0.69,101.26,52.16,61.68
1771261200,4,269.09,0.82,96.81,50.32,59.42
1771264800,3,275.98,0.9,93.46,48.95,57.48
1771268400,3,276.76,0.93,91.79,47.72,55.59
1771272000,3,277.41,0.93,92.19,47.62,55.03
1771275600,3,275.59,0.89,94.11,48.0,55.0
1771279200,3,272.15,0.85,95.72,48.6,55.24
1771282800,3,270.8,0.83,96.49,49.71,56.14
1771286400,4,274.06,0.85,95.89,51.37,57.82
1771290000,4,282.0,1.03,92.46,52.86,59.57
1771293600,4,294.77,1.19,88.26,54.51,61.68
1771297200,4,310.33,1.12,87.48,56.51,64.13
1771300800,4,319.82,0.89,92.11,58.2,66.06
1771304400,4,317.26,0.68,98.93,58.64,66.27
1771308000,4,310.86,0.6,106.82,59.33,66.59
1771311600,4,310.57,0.59,115.43,62.18,69.38
1771315200,4,312.17,0.6,121.81,65.39,72.65
1771318800,4,316.91,0.66,128.34,68.57,75.93
1771322400,4,321.7,0.79,133.39,71.04,78.56
1771326000,4,323.77,0.99,134.42,71.6,79.22
1771329600,4,322.35,1.09,132.47,70.73,78.36
1771333200,4,321.48,1.03,130.15,69.49,77.13
1771336800,4,323.26,0.95,125.51,68.24,76.01
1771340400,4,321.55,0.85,118.76,66.32,74.25
1771344000,4,315.87,0.75,111.21,63.28,71.26
1771347600,4,310.09,0.67,104.21,60.14,68.14
1771351200,4,306.05,0.65,97.66,56.69,64.65
1771354800,4,305.8,0.7,90.63,53.22,61.19
1771358400,4,319.87,0.88,83.35,50.86,58.97
1771362000,3,344.82,1.14,76.82,48.97,57.18
1771365600,3,371.04,1.45,71.08,46.46,54.51
1771369200,3,401.38,1.78,65.3,44.34,52.33
1771372800,3,420.89,1.97,62.59,41.59,49.29
1771376400,3,420.68,1.98,64.87,37.55,44.61
1771380000,3,432.75,1.93,67.47,35.27,42.27
1771383600,3,455.35,1.74,73.31,35.71,43.0
1771387200,3,479.23,1.47,85.39,39.4,47.22
1771390800,3,492.04,1.17,99.88,45.71,53.96
1771394400,4,493.61,0.98,111.99,53.37,61.89
1771398000,4,488.84,0.85,120.97,60.84,69.45
1771401600,4,472.84,0.74,125.18,65.0,73.45
